Dataset,Source Text (i.e. from original data),HPO ID,HPO Label,Mondo ID,Mondo Label,CDE name
DS-Connect,Has participant ever been diagnosed with celiac disease (gluten or wheat intolerance)?,HP_0002608,Celiac disease',MONDO:0005130,celiac disease,auto_celiac_status
DS-Connect,Which of the following sleep problems have been diagnosed? (Select all that apply.) - Narcolepsy,HP_0030050,Narcolepsy,MONDO:0021107,narcolepsy,auto_narcolepsy_status
DS-Connect,"Has the participant ever been diagnosed with any of the following metabolic, hormonal, or autoimmune conditions? (Select all that apply.) - Other",HP_0002960,Autoimmunity,MONDO:0007179,autoimmune disease,auto_other_specify
DS-Connect,Which of the following sleep problems have been diagnosed? (Select all that apply.) - Restless legs syndrome,HP_0012452,Restless legs',MONDO:0005391,restless legs syndrome,auto_rls_status
DS-Connect,"Has the participant ever been diagnosed with any of the following metabolic, hormonal, or autoimmune conditions? (Select all that apply.) - Systemic Lupus Erythematosus (SLE) or other autoimmune disease",HP_0002725,Systemic lupus erythematosus',MONDO:0007915,systemic lupus erythematosus,auto_sle_status
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Atrial septal defect (ASD),HP:0001631,Atrial septal defect,MONDO:0006664,atrial septal defect,cardiac_asd_age
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Atrioventricular septal defect (or AV Canal Defect),HP:0006695,Atrioventricular canal defect,MONDO:0017131,genetic cardiac anomaly,cardiac_av_canal_age
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Other,HP:0001627,Abnormal heart morphology',MONDO:0005453,congenital heart disease,cardiac_other_chd_specify
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Patent Ductus Arteriosus (PDA),HP:0001643,Patent ductus arteriosus,MONDO:0011827,patent ductus arteriosus,cardiac_pda_age
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Patent Foramen Ovale (PFO),HP:0001655,Patent foramen ovale,MONDO:0020439,patent foramen ovale,cardiac_pfo_age
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Tetralogy of Fallot,HP:0001636,Tetralogy of Fallot,MONDO:0008542,tetralogy of fallot,cardiac_tof_age
DS-Connect,Which of the following congenital heart defects have been diagnosed? (Select all that apply.) - Ventricular septal defect (VSD),HP:0001629,Ventricular septal defect,MONDO:0002070,ventricular septal defect,cardiac_vsd_age
DS-Connect,Has the participant ever been diagnosed with any of the following learning problems? (Select all that apply.) - Speech delay: difficulty speaking as clearly as those of the same age,HP_0000750,Delayed speech and language development',,,develop_delay_status
DS-Connect,Has the participant ever been diagnosed with any of the following learning problems? (Select all that apply.) - Language delay: difficulty understanding what others are saying as well as those of the same age,,,MONDO:0001276,expressive language disorder,develop_expressive_status
DS-Connect,Has the participant ever been diagnosed with any of the following learning problems? (Select all that apply.) - Mixed receptive and expressive language impairment,,,MONDO:0001568,mixed receptive-expressive language disorder,develop_mixed_status
DS-Connect,"Has the participant ever been diagnosed with any of the following metabolic, hormonal, or autoimmune conditions? (Select all that apply.) - Calcium deficiency",HP_0002901,Hypocalcemia,,,endo_calcium_status
DS-Connect,Has the participant ever been diagnosed with diabetes?,HP_0000819,Diabetes mellitus,MONDO:0005015,diabetes mellitus,endo_diabetes_conditions
DS-Connect,What types of thyroid condition(s) have been diagnosed? (Select all that apply.) - Hashimoto thyroiditis (immune system attacks thyroid gland which stops making T4),HP_0000872,Hashimoto thyroiditis',MONDO:0007699,Hashimoto thyroiditis,endo_hashimoto_status
DS-Connect,"What types of thyroid condition(s) have been diagnosed? (Select all that apply.) - Hyperthyroidism (overactive thyroid); low TSH, high T4 levels",HP_0000836,Hyperthyroidism,MONDO:0004425,hyperthyroidism,endo_hyperthyroid_status
